,date,open,high,low,close,volume,average,barCount,bid_date,bid_open,bid_high,bid_low,bid_close,bid_volume,bid_average,bid_barCount,ask_date,ask_open,ask_high,ask_low,ask_close,ask_volume,ask_average,ask_barCount
8043,2022-12-06 10:03:00-05:00,176.06,176.38,176.02,176.31,2415.02,176.219,1055,2022-12-06 10:03:00-05:00,176.05,176.36,176.02,176.29,-1.0,-1.0,-1.0,2022-12-06 10:03:00-05:00,176.09,176.38,176.03,176.31,-1.0,-1.0,-1.0
8044,2022-12-06 10:04:00-05:00,176.3,176.45,176.01,176.13,3205.09,176.145,1461,2022-12-06 10:04:00-05:00,176.29,176.43,176.01,176.1,-1.0,-1.0,-1.0,2022-12-06 10:04:00-05:00,176.31,176.45,176.02,176.13,-1.0,-1.0,-1.0
8045,2022-12-06 10:05:00-05:00,176.13,176.43,175.78,175.8,4722.82,176.074,1703,2022-12-06 10:05:00-05:00,176.1,176.4,175.77,175.78,-1.0,-1.0,-1.0,2022-12-06 10:05:00-05:00,176.13,176.45,175.79,175.81,-1.0,-1.0,-1.0
8046,2022-12-06 10:06:00-05:00,175.78,176.06,175.55,176.01,4466.5,175.81,1520,2022-12-06 10:06:00-05:00,175.78,176.02,175.55,175.96,-1.0,-1.0,-1.0,2022-12-06 10:06:00-05:00,175.81,176.07,175.56,176.02,-1.0,-1.0,-1.0
8047,2022-12-06 10:07:00-05:00,176.02,176.02,175.33,175.41,3704.92,175.6,1443,2022-12-06 10:07:00-05:00,175.96,175.98,175.33,175.41,-1.0,-1.0,-1.0,2022-12-06 10:07:00-05:00,176.02,176.02,175.36,175.45,-1.0,-1.0,-1.0
8048,2022-12-06 10:08:00-05:00,175.42,176.0,175.4,175.7,3489.01,175.71,1128,2022-12-06 10:08:00-05:00,175.41,175.94,175.4,175.7,-1.0,-1.0,-1.0,2022-12-06 10:08:00-05:00,175.45,175.99,175.44,175.73,-1.0,-1.0,-1.0
8049,2022-12-06 10:09:00-05:00,175.72,176.15,175.64,176.09,3050.26,175.919,1067,2022-12-06 10:09:00-05:00,175.7,176.12,175.62,176.05,-1.0,-1.0,-1.0,2022-12-06 10:09:00-05:00,175.73,176.17,175.65,176.1,-1.0,-1.0,-1.0
8050,2022-12-06 10:10:00-05:00,176.1,176.16,175.75,175.8,2730.95,175.919,900,2022-12-06 10:10:00-05:00,176.05,176.15,175.75,175.78,-1.0,-1.0,-1.0,2022-12-06 10:10:00-05:00,176.1,176.16,175.77,175.82,-1.0,-1.0,-1.0
8051,2022-12-06 10:11:00-05:00,175.78,176.58,175.68,176.43,4142.42,176.221,1615,2022-12-06 10:11:00-05:00,175.78,176.55,175.68,176.43,-1.0,-1.0,-1.0,2022-12-06 10:11:00-05:00,175.82,176.58,175.7,176.46,-1.0,-1.0,-1.0
8052,2022-12-06 10:12:00-05:00,176.46,176.46,176.04,176.29,2180.19,176.25,823,2022-12-06 10:12:00-05:00,176.43,176.44,176.04,176.25,-1.0,-1.0,-1.0,2022-12-06 10:12:00-05:00,176.46,176.46,176.08,176.31,-1.0,-1.0,-1.0
8053,2022-12-06 10:13:00-05:00,176.28,176.86,176.25,176.77,3317.16,176.574,1182,2022-12-06 10:13:00-05:00,176.25,176.83,176.24,176.75,-1.0,-1.0,-1.0,2022-12-06 10:13:00-05:00,176.31,176.86,176.28,176.79,-1.0,-1.0,-1.0
